source_realword,pseudoword,syllable_length,modified_syllable_position,original_syllable,modified_syllable,modification_type,quality_flag,possible_meaning_warning,keep_manual,reject_manual,helper_manual_note,final_selected,review_warning,recommended_action,shortlist_rank_within_length,shortlist_reason,manual_final_decision,manual_note
biển,biểc,1,1,biển,biểc,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,1,keep_candidate; final consonant change is pronounceable and less typo-like,,
biển,biểm,1,1,biển,biểm,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,2,keep_candidate; final consonant change is pronounceable and less typo-like,,
biển,biểng,1,1,biển,biểng,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,3,keep_candidate; final consonant change is pronounceable and less typo-like,,
bàn,bàc,1,1,bàn,bàc,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,4,keep_candidate; final consonant change is pronounceable and less typo-like,,
bàn,bàm,1,1,bàn,bàm,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,5,keep_candidate; final consonant change is pronounceable and less typo-like,,
bàn,bàp,1,1,bàn,bàp,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,6,keep_candidate; final consonant change is pronounceable and less typo-like,,
bút,búc,1,1,bút,búc,final_consonant_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,7,keep_candidate; final consonant change is pronounceable and less typo-like,,
chợ,chá,1,1,chợ,chá,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,8,keep_candidate; vowel change is pronounceable and less typo-like,,
mũ,mố,1,1,mũ,mố,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,9,keep_candidate; vowel change is pronounceable and less typo-like,,
tin,týn,1,1,tin,týn,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,10,keep_candidate; vowel change is pronounceable and less typo-like,,
trị,trý,1,1,trị,trý,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,11,keep_candidate; vowel change is pronounceable and less typo-like,,
trị,trế,1,1,trị,trế,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,12,keep_candidate; vowel change is pronounceable and less typo-like,,
cỏ,cở,1,1,cỏ,cở,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,13,review_carefully retained as backup; vowel change is relatively acceptable,,
cốc,côc,1,1,cốc,côc,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,14,review_carefully retained as backup; vowel change is relatively acceptable,,
ghế,ghể,1,1,ghế,ghể,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,15,review_carefully retained as backup; vowel change is relatively acceptable,,
lá,lâ,1,1,lá,lâ,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,16,review_carefully retained as backup; vowel change is relatively acceptable,,
lá,lấ,1,1,lá,lấ,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,17,review_carefully retained as backup; vowel change is relatively acceptable,,
mũ,mư,1,1,mũ,mư,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,18,review_carefully retained as backup; vowel change is relatively acceptable,,
mắt,măt,1,1,mắt,măt,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,19,review_carefully retained as backup; vowel change is relatively acceptable,,
mắt,mẩt,1,1,mắt,mẩt,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,20,review_carefully retained as backup; vowel change is relatively acceptable,,
nhà,nhâ,1,1,nhà,nhâ,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,21,review_carefully retained as backup; vowel change is relatively acceptable,,
xe,xể,1,1,xe,xể,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,22,review_carefully retained as backup; vowel change is relatively acceptable,,
đá,đâ,1,1,đá,đâ,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,23,review_carefully retained as backup; vowel change is relatively acceptable,,
đá,đă,1,1,đá,đă,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,24,review_carefully retained as backup; vowel change is relatively acceptable,,
bút,bủt,1,1,bút,bủt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,25,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
chợ,chọ,1,1,chợ,chọ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,26,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
cốc,cỏc,1,1,cốc,cỏc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,27,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
dân,dản,1,1,dân,dản,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,28,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
