pseudoword,syllable_length,source_method,pronounceability_note,corpus_match_status,review_status,notes
cụch,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nghỉc,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quỏ,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ghẹt,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phệc,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
cụnh,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
gụn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ghíp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
thấng,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
lổp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phẩt,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xửm,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quíp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
văt,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quựn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
héc,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giặn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
thăp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
sém,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
vảm,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phắt,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhởm,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bậnh,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xớn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhôn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giýn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ẩng,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
kỉc,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giúch,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dẳp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quủn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nợp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
rểt,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bốp,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
tịn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trổn,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trạo,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dôt,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nọm,1,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
