source_realword,pseudoword,syllable_length,modified_syllable_position,original_syllable,modified_syllable,modification_type,quality_flag,possible_meaning_warning,recommended_action,final_selected,manual_note
biển,biểc,1,1,biển,biểc,final_consonant_change,high,none_detected_by_heuristic,keep_candidate,1,
bàn,bàc,1,1,bàn,bàc,final_consonant_change,high,none_detected_by_heuristic,keep_candidate,1,
bút,búc,1,1,bút,búc,final_consonant_change,high,none_detected_by_heuristic,keep_candidate,1,
chợ,chá,1,1,chợ,chá,vowel_change,high,none_detected_by_heuristic,keep_candidate,1,
cây,khây,1,1,cây,khây,onset_change,medium,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review; approved_quality_replacement_v2
cỏ,cở,1,1,cỏ,cở,vowel_change,high,none_detected_by_heuristic,review_carefully,1,
cốc,côc,1,1,cốc,côc,vowel_change,high,none_detected_by_heuristic,review_carefully,1,
cửa,bửa,1,1,cửa,bửa,onset_change,medium,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
dân,dản,1,1,dân,dản,tone_change,high,none_detected_by_heuristic,review_carefully,1,
ghế,ghể,1,1,ghế,ghể,vowel_change,high,none_detected_by_heuristic,review_carefully,1,
giá,gá,1,1,giá,gá,onset_change,medium,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
gió,hó,1,1,gió,hó,onset_change,medium,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review; kept_after_quality_review
hoa,đoa,1,1,hoa,đoa,onset_change,medium,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review; kept_after_quality_review
hàng,hàc,1,1,hàng,hàc,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
luật,luậc,1,1,luật,luậc,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
lá,lâ,1,1,lá,lâ,vowel_change,high,none_detected_by_heuristic,review_carefully,1,
lực,lủc,1,1,lực,lủc,tone_change,high,none_detected_by_heuristic,review_carefully,1,
mũ,mố,1,1,mũ,mố,vowel_change,high,none_detected_by_heuristic,keep_candidate,1,
mắt,măt,1,1,mắt,măt,vowel_change,high,none_detected_by_heuristic,review_carefully,1,
nhà,nhâ,1,1,nhà,nhâ,vowel_change,high,none_detected_by_heuristic,review_carefully,1,
núi,búi,1,1,núi,búi,onset_change,medium,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
nước,nướp,1,1,nước,nướp,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review; approved_quality_replacement_v2
rừng,rúng,1,1,rừng,rúng,tone_change,high,none_detected_by_heuristic,review_carefully,1,
sách,sảch,1,1,sách,sảch,tone_change,high,none_detected_by_heuristic,review_carefully,1,
sông,sọng,1,1,sông,sọng,tone_change,high,none_detected_by_heuristic,review_carefully,1,
thuốc,thuốn,1,1,thuốc,thuốn,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review; approved_quality_replacement_v2
tin,týn,1,1,tin,týn,vowel_change,high,none_detected_by_heuristic,keep_candidate,1,
tiền,tiềc,1,1,tiền,tiềc,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
trị,trý,1,1,trị,trý,vowel_change,high,none_detected_by_heuristic,keep_candidate,1,
vải,bải,1,1,vải,bải,onset_change,medium,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
vật,vảt,1,1,vật,vảt,tone_change,high,none_detected_by_heuristic,review_carefully,1,
xe,xể,1,1,xe,xể,vowel_change,high,none_detected_by_heuristic,review_carefully,1,
áo,máo,1,1,áo,máo,onset_change,medium,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review; approved_quality_replacement_v2
đá,đâ,1,1,đá,đâ,vowel_change,high,none_detected_by_heuristic,review_carefully,1,
đèn,đén,1,1,đèn,đén,tone_change,high,none_detected_by_heuristic,review_carefully,1,
đường,đườm,1,1,đường,đườm,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review; approved_quality_replacement_v2
đất,đat,1,1,đất,đat,tone_change,high,none_detected_by_heuristic,review_carefully,1,
biện pháp,biệc pháp,2,1,biện,biệc,final_consonant_change,high,none_detected_by_heuristic,keep_candidate,1,
bệnh viện,bệc viện,2,1,bệnh,bệc,final_consonant_change,high,none_detected_by_heuristic,keep_candidate,1,
chén nước,chẹn nước,2,1,chén,chẹn,tone_change,high,none_detected_by_heuristic,review_carefully,1,
cây cảnh,cây cảc,2,2,cảnh,cảc,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
cây xanh,cây xạnh,2,2,xanh,xạnh,tone_change,high,none_detected_by_heuristic,review_carefully,1,
công nghiệp,côm nghiệp,2,1,công,côm,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review; approved_quality_replacement_v2
công ty,côm ty,2,1,công,côm,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review; approved_quality_replacement_v2
cửa hàng,cửa hàc,2,2,hàng,hàc,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
giá thành,giá thàc,2,2,thành,thàc,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
giá vé,giá vể,2,2,vé,vể,vowel_change,high,none_detected_by_heuristic,review_carefully,1,
giáo dục,giáo dụn,2,2,dục,dụn,final_consonant_change,high,none_detected_by_heuristic,candidate_pool_v4_supplement,1,supplemented from candidate_pool_v4; needs final native-speaker review
