source_realword,pseudoword,syllable_length,modified_syllable_position,original_syllable,modified_syllable,modification_type,quality_flag,possible_meaning_warning,keep_manual,reject_manual,manual_note,final_selected,review_warning,recommended_action
bút,bụt,1,1,bút,bụt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
bút,bủt,1,1,bút,bủt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
chợ,chọ,1,1,chợ,chọ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
cốc,cỏc,1,1,cốc,cỏc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
dân,dản,1,1,dân,dản,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
lực,lủc,1,1,lực,lủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
mắt,mảt,1,1,mắt,mảt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
nhà,nhá,1,1,nhà,nhá,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
nhà,nhạ,1,1,nhà,nhạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
rừng,rúng,1,1,rừng,rúng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
sách,sảch,1,1,sách,sảch,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
sông,sọng,1,1,sông,sọng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
sông,sỏng,1,1,sông,sỏng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
tin,tỉn,1,1,tin,tỉn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
tin,tịn,1,1,tin,tịn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
trị,trỉ,1,1,trị,trỉ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
vật,vảt,1,1,vật,vảt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
đèn,đén,1,1,đèn,đén,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
đèn,đẹn,1,1,đèn,đẹn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
đèn,đẻn,1,1,đèn,đẻn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
đất,đat,1,1,đất,đat,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
đất,đảt,1,1,đất,đảt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
chợ,chá,1,1,chợ,chá,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate
cốc,côc,1,1,cốc,côc,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
ghế,ghể,1,1,ghế,ghể,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
mắt,măt,1,1,mắt,măt,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
mắt,mẩt,1,1,mắt,mẩt,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
nhà,nhâ,1,1,nhà,nhâ,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
tin,týn,1,1,tin,týn,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate
trị,trý,1,1,trị,trý,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate
trị,trế,1,1,trị,trế,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate
mũ,mụ,1,1,mũ,mụ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
xe,xẹ,1,1,xe,xẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
đá,đạ,1,1,đá,đạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
cỏ,cở,1,1,cỏ,cở,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
lá,lâ,1,1,lá,lâ,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
lá,lă,1,1,lá,lă,vowel_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
