source_realword,pseudoword,syllable_length,modified_syllable_position,original_syllable,modified_syllable,modification_type,corpus_match_status,quality_flag,possible_meaning_warning,review_status,notes
cốc,cỏc,1,1,cốc,cỏc,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cốc,cốn,1,1,cốc,cốn,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cốc,côc,1,1,cốc,côc,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cỏ,cở,1,1,cỏ,cở,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cỏ,chỏ,1,1,cỏ,chỏ,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
cỏ,gỏ,1,1,cỏ,gỏ,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
núi,búi,1,1,núi,búi,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
núi,chúi,1,1,núi,chúi,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
núi,giúi,1,1,núi,giúi,onset_change,no exact match in processed corpus/candidate/final-real-word files,medium,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
rừng,rúng,1,1,rừng,rúng,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
rừng,rừc,1,1,rừng,rừc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
rừng,rừm,1,1,rừng,rừm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
bút,bụt,1,1,bút,bụt,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
bút,bủt,1,1,bút,bủt,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
bút,búc,1,1,bút,búc,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mũ,mụ,1,1,mũ,mụ,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mũ,mư,1,1,mũ,mư,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
mũ,mố,1,1,mũ,mố,vowel_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
thuốc,thuốm,1,1,thuốc,thuốm,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
thuốc,thuốn,1,1,thuốc,thuốn,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
thuốc,thuống,1,1,thuốc,thuống,final_consonant_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
sông,sọng,1,1,sông,sọng,tone_change,no exact match in processed corpus/candidate/final-real-word files,high,none_detected_by_heuristic,needs_manual_review,real-word-template substitution; exactly one syllable modified
