source_realword,pseudoword,syllable_length,modified_syllable_position,original_syllable,modified_syllable,modification_type,quality_flag,possible_meaning_warning,keep_manual,reject_manual,manual_note,final_selected
bút,bụt,1,1,bút,bụt,tone_change,high,none_detected_by_heuristic,,,,
bút,bủt,1,1,bút,bủt,tone_change,high,none_detected_by_heuristic,,,,
chợ,chọ,1,1,chợ,chọ,tone_change,high,none_detected_by_heuristic,,,,
cốc,cỏc,1,1,cốc,cỏc,tone_change,high,none_detected_by_heuristic,,,,
dân,dản,1,1,dân,dản,tone_change,high,none_detected_by_heuristic,,,,
lực,lủc,1,1,lực,lủc,tone_change,high,none_detected_by_heuristic,,,,
mắt,mảt,1,1,mắt,mảt,tone_change,high,none_detected_by_heuristic,,,,
nhà,nhá,1,1,nhà,nhá,tone_change,high,none_detected_by_heuristic,,,,
nhà,nhạ,1,1,nhà,nhạ,tone_change,high,none_detected_by_heuristic,,,,
rừng,rúng,1,1,rừng,rúng,tone_change,high,none_detected_by_heuristic,,,,
sách,sảch,1,1,sách,sảch,tone_change,high,none_detected_by_heuristic,,,,
sông,sọng,1,1,sông,sọng,tone_change,high,none_detected_by_heuristic,,,,
sông,sỏng,1,1,sông,sỏng,tone_change,high,none_detected_by_heuristic,,,,
tin,tỉn,1,1,tin,tỉn,tone_change,high,none_detected_by_heuristic,,,,
tin,tịn,1,1,tin,tịn,tone_change,high,none_detected_by_heuristic,,,,
trị,trỉ,1,1,trị,trỉ,tone_change,high,none_detected_by_heuristic,,,,
vật,vảt,1,1,vật,vảt,tone_change,high,none_detected_by_heuristic,,,,
đèn,đén,1,1,đèn,đén,tone_change,high,none_detected_by_heuristic,,,,
đèn,đẹn,1,1,đèn,đẹn,tone_change,high,none_detected_by_heuristic,,,,
đèn,đẻn,1,1,đèn,đẻn,tone_change,high,none_detected_by_heuristic,,,,
đất,đat,1,1,đất,đat,tone_change,high,none_detected_by_heuristic,,,,
đất,đảt,1,1,đất,đảt,tone_change,high,none_detected_by_heuristic,,,,
chợ,chá,1,1,chợ,chá,vowel_change,high,none_detected_by_heuristic,,,,
cốc,côc,1,1,cốc,côc,vowel_change,high,none_detected_by_heuristic,,,,
ghế,ghể,1,1,ghế,ghể,vowel_change,high,none_detected_by_heuristic,,,,
mắt,măt,1,1,mắt,măt,vowel_change,high,none_detected_by_heuristic,,,,
mắt,mẩt,1,1,mắt,mẩt,vowel_change,high,none_detected_by_heuristic,,,,
nhà,nhâ,1,1,nhà,nhâ,vowel_change,high,none_detected_by_heuristic,,,,
tin,týn,1,1,tin,týn,vowel_change,high,none_detected_by_heuristic,,,,
trị,trý,1,1,trị,trý,vowel_change,high,none_detected_by_heuristic,,,,
trị,trế,1,1,trị,trế,vowel_change,high,none_detected_by_heuristic,,,,
mũ,mụ,1,1,mũ,mụ,tone_change,high,none_detected_by_heuristic,,,,
xe,xẹ,1,1,xe,xẹ,tone_change,high,none_detected_by_heuristic,,,,
đá,đạ,1,1,đá,đạ,tone_change,high,none_detected_by_heuristic,,,,
